Name,CMP,PE,Market Cap,Dividend Yield,Net Profit Last Quarter,Quaterly Profit Growth,Sales Latest Quarter,Quaterly Sales Growth,Return on Campital Employment
P I Industries,4265.25,36.46,64711.57,0.35,508.2,5.76,2221.0,4.92,24.0
UPL,525.8,67.2921923474664,39466.95,0.19,-585.0,-152.09,11090.0,9.05,3.29
Bayer Crop Sci.,5892.85,45.69,26483.7,2.38,136.3,-38.85,1737.6,7.44,33.91
Sumitomo Chemi.,520.9,53.78,26000.5,0.17,190.84,32.82,971.35,7.51,20.83
Sharda Cropchem,780.75,32.35,7043.97,0.38,42.42,253.77,776.89,33.77,4.27
Dhanuka Agritech,1527.15,25.7,6960.49,0.92,117.52,15.48,654.28,5.88,26.93
Rallis India,307.75,40.17,5984.78,0.81,98.0,20.62,928.0,11.54,11.2
Bharat Rasayan,10863.25,32.21,4513.97,0.01,40.15,421.43,327.87,24.73,11.14
Bhagiradha Chem.,328.35,188.37,4085.82,0.03,5.44,-4.9,103.73,-14.98,9.18
Meghmani Organi.,94.82,67.2921923474664,2411.41,0.0,-9.27,39.57,543.89,43.61,-3.13
Insecticid.India,729.0,16.46,2157.68,0.41,61.6,15.7,627.21,-9.88,13.02
India Pesticides,183.29,29.33,2110.83,0.41,26.48,33.54,228.78,13.27,10.74
Excel Industries,1657.2,27.39,2083.22,0.33,35.68,1893.3,268.91,35.79,1.57
Astec Lifescienc,1059.25,67.2921923474664,2077.33,0.0,-38.55,-187.26,98.55,-11.05,-4.48
Heranba Inds,480.7,28.34,1923.45,0.26,37.66,39.95,437.42,3.09,6.73
Best Agrolife,606.5,38.93,1434.05,0.49,94.66,-0.22,746.6,-7.96,16.48
Punjab Chemicals,1018.3,31.67,1248.44,0.29,12.37,-31.73,242.13,-0.02,22.49
NACL Industries,50.0,67.2921923474664,996.92,0.0,14.9,265.2,440.31,-24.12,-0.04
Dharmaj Crop,288.2,24.09,974.04,0.0,21.03,-8.68,311.33,23.22,14.52
Shivalik Rasayan,523.95,58.11,815.29,0.1,4.43,113.3,82.44,22.95,6.08
Sikko Industries,92.83,26.84,155.95,0.0,2.1,29.63,15.32,-18.73,20.67
Ambey,61.25,19.17,152.8,0.0,312.8998455949137,88.78577903682718,2952.34659400545,54.603034351145034,17.26
Aimco Pesticides,101.7,67.2921923474664,97.45,0.0,-1.55,74.12,39.78,-13.37,-18.46
Aristo Bio-Tech,130.9,22.85,89.11,0.31,1.32,88.78577903682718,112.32,26.47,13.25
Poonawalla Fin,355.95,66.32,27685.65,0.56,-471.04,-242.18,988.87,33.88,10.8
Authum Invest,1572.85,6.61,26714.09,0.0,843.72,7.11,1091.1,12.09,39.34
Piramal Enterp.,1044.25,67.2921923474664,23545.51,0.96,162.97,166.38,2287.97,4.31,3.91
PNB Housing,904.0,13.81,23489.79,0.0,471.7,22.71,1867.53,5.74,9.27
Aditya AMC,801.3,25.79,23105.91,1.68,242.34,36.08,424.21,26.63,34.89
TVS Holdings,11288.25,24.0,22838.5,0.83,598.81,21.84,11554.44,8.93,14.98
JSW Holdings,19420.2,89.74,21556.42,0.0,119.64,89.3,162.18,81.88,0.7
Five-Star Bus.Fi,647.7,19.48,18944.35,0.0,267.94,34.38,702.05,35.32,15.8
Aadhar Hsg. Fin.,434.85,22.42,18691.79,0.0,227.51,15.31,764.27,21.59,11.36
IIFL Finance,422.15,11.81,17918.38,0.95,-93.07,-22.94,2571.9,3.78,11.81
UTI AMC,1311.9,19.87,16729.68,1.83,263.08,30.83,538.4,33.25,22.6
Anand Rathi Wea.,3884.05,61.67,16266.52,0.36,76.31,32.39,242.48,32.81,50.74
Aptus Value Hou.,316.8,23.44,15831.86,1.42,181.97,22.94,421.39,26.32,14.68
Capri Global,191.48,48.86,15795.95,0.08,96.98,48.65,751.64,34.89,9.5
IFCI,57.78,104.2,15101.33,0.0,184.89,-13.51,617.14,1.7,10.24
CreditAcc. Gram.,884.7,10.57,14108.33,1.13,186.06,-46.72,1453.29,16.55,14.76
Manappuram Fin.,155.63,5.83,13173.06,2.28,572.08,2.2,2633.1,21.86,13.75
AAVAS Financiers,1650.2,24.49,13059.94,0.0,147.91,21.52,579.16,16.61,9.91
JM Financial,129.05,20.01,12334.0,1.55,144.2,-26.03,1190.51,-0.57,10.13
Mah. Scooters,10626.05,69.56,12145.58,1.6,151.16,-23.55,163.17,-20.76,0.88
Can Fin Homes,822.95,13.36,10957.92,0.73,211.49,33.8,962.48,10.5,9.26
Bengal & Assam,9412.6,9.25,10632.78,0.42,127.75,-60.31,589.88,-86.52,14.11
Choice Intl.,526.8,68.48,10503.29,0.0,46.45,56.39,247.39,29.56,24.97
Interglobe Aviat,3891.2,22.67,150317.06,0.0,-988.8,-626.35,16969.6,13.56,24.53
SpiceJet,55.37,67.2921923474664,7096.69,0.0,149.96,-26.69,1695.52,-15.3,1.69
Afcom,475.55,47.04,1182.11,0.0,18.86,88.78577903682718,88.76,25.12,36.65
TAAL Enterprises,2721.5,19.73,848.11,0.92,14.53,32.69,49.12,2.38,31.31
United Spirits,1442.35,72.97,104909.45,0.62,341.0,8.1,2844.0,-0.87,27.87
United Breweries,1883.55,105.45,49801.06,0.53,132.33,23.33,2116.72,11.99,13.49
Radico Khaitan,2249.15,104.06,30088.49,0.13,82.19,32.82,1116.3,20.68,13.16
Allied Blenders,315.65,143.73,8829.05,0.0,48.45,314.1,867.67,1.94,15.76
Piccadily Agro,720.7,66.51,6799.03,0.0,24.64,121.78,184.92,62.05,29.59
Tilaknagar Inds.,338.65,35.98,6534.47,0.15,58.23,82.42,374.86,5.78,22.12
India Glycols,1162.6,18.56,3599.41,0.69,49.71,30.78,961.2,24.09,10.98
Sula Vineyards,395.45,38.97,3337.06,2.15,14.48,-37.29,132.36,-0.99,18.81
Globus Spirits,837.9,38.47,2418.97,0.42,1.56,-88.06,637.86,12.47,9.56
Som Distilleries,100.5,20.03,1947.45,0.0,18.7,25.93,289.73,16.96,19.43
G M Breweries,763.65,11.19,1744.71,0.73,21.67,-3.13,149.0,-1.7,23.53
Assoc.Alcohols,877.8,29.1,1683.55,0.23,15.32,13.9,254.63,49.51,14.63
Jagatjit Inds.,228.3,67.2921923474664,1068.05,0.0,-7.98,-421.54,137.18,-2.19,10.32
IFB Agro Inds.,563.9,207.2,528.37,0.0,2.09,199.52,266.79,11.52,-2.4
Aurangabad Dist.,228.5,11.19,234.21,0.0,6.13,88.78577903682718,52.23,54.603034351145034,24.92
Piccadily Sugar,59.53,67.2921923474664,138.41,0.0,-1.2,-12.15,2.63,112.1,-20.95
Samvardh. Mothe.,165.36,30.72,116352.18,0.48,948.81,218.76,27811.86,18.48,13.68
Bosch,33862.1,49.87,99871.66,1.11,535.9,23.94,4394.3,6.4,20.61
Uno Minda,995.15,63.33,57137.92,0.2,266.16,6.33,4244.79,17.22,19.94
Sona BLW Precis.,668.65,72.33,41540.22,0.46,143.58,18.35,922.19,17.11,24.02
Exide Inds.,418.1,42.49,35538.5,0.48,233.4,-14.15,4450.0,1.8,10.15
Endurance Tech.,2375.3,43.43,33411.65,0.36,202.98,31.33,2912.66,14.45,16.6
ZF Commercial,14669.35,67.96,27813.09,0.12,109.34,4.8,906.7,-7.56,20.9
Motherson Wiring,60.93,40.8,26937.81,1.31,152.08,-2.44,2325.64,10.26,47.96
Sundram Fasten.,1188.45,45.69,24972.71,0.58,143.84,8.05,1486.04,4.52,18.54
Amara Raja Ener.,1255.6,23.79,22980.66,0.79,240.71,12.31,3135.83,11.57,18.74
Bombay Burmah,2564.3,14.5,17891.61,0.05,515.67,90.99,4760.84,5.24,28.31
JBM Auto,1454.05,91.78,17193.72,0.1,52.61,11.96,1285.98,4.47,14.45
HBL Power System,540.9,43.32,14993.47,0.09,87.07,26.92,520.96,-6.4,35.94
Minda Corp,494.3,45.14,11817.7,0.28,74.34,26.49,1290.01,7.87,15.2
Craftsman Auto,4690.65,44.7,11189.82,0.24,61.69,-34.75,1213.95,2.96,19.99
Sansera Enginee.,1486.85,47.23,9176.89,0.2,51.61,7.83,763.37,10.17,15.76
Shriram Pistons,2026.65,19.24,8927.36,0.49,125.88,10.42,876.5,16.62,27.87
ASK Automotive,415.6,36.94,8193.25,0.24,67.28,63.14,973.86,22.67,24.24
Varroc Engineer,508.0,14.71,7761.55,0.0,57.8,2.67,2080.77,10.28,17.48
Suprajit Engg.,454.85,45.67,6302.83,0.55,0.48,-98.62,833.6,17.6,13.94
Gabriel India,423.45,30.49,6082.6,0.94,52.69,12.23,924.01,6.89,26.72
Home First Finan,1049.2,27.35,9362.68,0.32,92.23,24.12,372.91,36.43,11.25
SBFC Finance,82.91,29.74,8927.53,0.0,83.98,59.63,313.89,27.44,10.93
Kama Holdings,2546.3,10.63,8171.22,1.39,203.92,-31.26,3451.86,7.66,13.56
Religare Enterp.,245.24,88.12,8100.16,0.0,68.49,102.33,1951.86,23.19,8.71
INDIA SHELTE FIN,643.7,22.08,6913.52,0.0,89.87,49.68,282.28,38.56,12.23
Sundaram Fin.Hol,310.25,12.07,6890.77,2.48,88.9,-2.0,29.86,22.43,5.85
Pilani Invest.,5999.75,33.69,6643.07,0.25,77.7,43.36,122.83,15.18,2.01
Elcid Investment,269172.7,22.29,5383.45,0.01,43.47,179.37,56.35,149.67,2.02
MAS FINANC SER,293.35,18.92,5322.93,0.51,77.62,25.42,384.27,23.81,11.7
Kirloskar Indus.,4547.1,24.18,4734.11,0.29,91.63,-12.34,1687.74,6.95,10.68
Nalwa Sons Invst,8237.55,50.98,4234.1,0.0,35.05,75.26,59.75,124.2,0.73
Paisalo Digital,43.45,21.19,3902.0,0.23,49.92,5.12,187.03,29.27,14.06
Northern ARC,237.45,11.21,3831.95,0.0,112.13,54.02,573.2,35.05,10.87
Dhani Services,63.49,67.2921923474664,3829.93,0.0,4.19,103.99,102.63,4.11,-5.16
Fedbank Financi.,99.03,13.75,3683.12,0.0,64.55,11.76,512.98,29.94,10.48
Summit Securitie,3297.8,31.6,3594.6,0.0,75.15,96.11,106.68,100.19,1.39
Indostar Capital,260.1,43.88,3539.42,0.0,31.68,85.06,344.99,47.29,8.35
Eraaya Lifespace,1770.25,2766.34,3347.27,0.0,0.03,-50.0,1.24,-99.47,7.0
Muthoot Microfin,190.24,7.74,3243.44,0.0,61.61,-43.77,666.58,18.27,14.97
Spandana Sphoort,365.8,29.7,2608.34,0.0,-203.93,-275.33,640.36,9.59,14.16
Rane Holdings,1824.35,23.13,2605.17,1.37,185.4,-74.91,916.5,-1.25,12.95
Saraswati Commer,22763.35,13.67,2344.46,0.0,63.33,166.09,78.31,174.1,21.84
Dolat Algotech,130.49,9.27,2296.62,0.19,66.71,90.76,119.82,68.59,27.67
Ugro Capital,230.75,16.36,2145.28,0.0,35.52,22.95,330.16,35.0,12.16
PNB Gilts,114.32,9.42,2057.88,0.87,114.68,377.6,500.76,44.39,6.81
Abans Holdings,368.0,20.96,1860.34,0.0,27.38,18.92,641.26,75.47,9.23
Master Trust,164.52,13.47,1847.0,0.0,36.89,58.12,153.68,27.77,33.47
Fusion Finance,177.71,5.12,1788.31,0.0,-35.62,-129.57,688.32,29.61,14.14
GKW,2971.95,154.55,1774.25,0.0,6.69,-5.64,14.5,26.2,0.84
Mufin Green,108.33,91.51,1769.79,0.0,5.71,42.39,40.32,90.82,10.75
Balmer Law. Inv.,77.03,9.94,1709.86,4.93,62.93,-0.59,641.57,9.21,17.81
Satin Creditcare,151.9,4.29,1678.05,0.0,44.69,-58.15,656.9,22.19,16.65
Vardhman Hold.,4909.05,6.84,1565.99,0.1,49.38,-20.26,7.4,-75.55,6.07
Capital India,187.65,67.2921923474664,1458.68,0.05,0.6,111.74,165.71,-5.91,6.11
Fedders Holding,82.42,13.02,1409.1,0.0,20.15,293.76,142.01,91.62,21.11
Dhunseri Invest.,2248.85,14.42,1371.16,0.11,82.65,16.53,160.06,163.21,4.89
Ashika Credit,635.75,52.24,1361.78,0.0,9.27,125.0,17.07,168.4,17.92
Indl.& Prud.Inv.,7276.55,23.07,1219.43,1.24,18.22,16.2,3.83,139.38,7.23
GIC Housing Fin,206.06,6.74,1109.63,2.18,36.48,20.95,264.04,-1.33,8.54
Max India Ltd,244.05,67.2921923474664,1053.58,0.0,-22.73,-383.62,42.77,-13.12,-7.69
The Invest.Trust,200.92,24.81,1049.65,0.0,20.42,97.48,111.19,45.35,6.63
GFL,94.6,67.2921923474664,1039.18,0.0,-35.35,-249.22,0.85,3.66,-0.31
Sunshine Capital,1.97,187.98,1030.15,0.0,3.3,483.72,5.78,212.43,0.25
Algoquant Fin,1257.05,93.1,1010.17,0.0,1.53,225.53,16.32,52.24,21.88
Prime Securities,300.9,27.96,1009.45,0.33,17.2,335.44,29.83,93.7,16.54
Sastasundar Ven.,312.8,26.18,995.02,0.0,40.96,10964.26,270.29,-19.57,-2.95
Indl. Inv. Trust,405.5,15.36,914.3,0.0,9.0,492.11,14.48,140.93,14.37
Naperol Invest.,1546.3,906.8,888.66,0.0,1.33,6750.0,1.73,517.86,-0.08
STEL Holdings,480.4,55.88,886.82,0.0,5.72,91.3,7.78,86.57,1.53
Jindal Poly Inve,784.6,2.09,824.61,0.0,139.82,156.6,7.91,5.89,11.82
Shardul Sec.,463.35,4.06,810.86,0.0,28.75,62.06,40.11,34.33,28.87
Jindal Photo,732.95,2.1,752.01,0.0,124.69,172.13,0.81,80.0,12.34
A.K.Capital Serv,1128.95,8.07,745.11,1.42,20.08,1.02,120.12,-3.46,9.19
SIL Investments,692.35,22.26,733.89,0.36,16.76,26.69,24.74,19.23,2.07
M & M,2807.2,29.42,349083.41,0.75,3361.06,35.05,37923.74,10.13,13.58
Maruti Suzuki,11006.05,24.68,346033.04,1.14,3102.5,-18.06,37449.2,0.29,21.82
Tata Motors,774.3,8.52,285019.19,0.39,3450.0,-12.93,101450.0,-3.5,20.11
